"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
165,"Zwickau",14,217679,148305,43.732173561242,43.7422878527359,15.5308317319038,14.6225683557533,2.69444725396986,2.64589865479923,24.1711338120765,20.9440005394289,2.92235595563197,3.13745322140184,1.8502410572806,1.74572671184384,NA,5.98631199217828,68.1301365772537,754.7,259.5,345.9,6.6,11.1,36.2,21,12.4,32.5,325,8.3,84.7,"Saxony",TRUE
166,"Vogtlandkreis",14,201934,138790,47.3686865047914,43.5665393760357,20.2982923841775,15.7684271201095,2.54557244758268,2.76388788817638,19.242740831472,19.8984076662584,2.5506160386195,3.29202392103177,1.97852871244326,1.87549535269112,NA,6.55306578283738,68.7303772519734,1411.9,240.1,171.1,6.1,10.5,36.6,21.6,12.5,29.9,271.1,8.4,82.1,"Saxony",TRUE
167,"Waldeck",6,189728,138632,39.9936522592186,35.3908188585608,39.829909400427,34.9270009810145,2.5816550291419,4.65404812741647,5.23183680535518,5.30613422586416,6.12124184892377,7.84234520168504,2.29167868890299,1.61723123088464,NA,4.88631773327947,73.0688143025805,2166.5,237.3,109.8,7.6,9.7,36.9,18.3,11,25.2,453,4.8,46.8,"Hesse",FALSE
168,"Kassel",6,224555,160695,34.0234605930489,30.0949002769221,38.6931765145151,33.1261084663493,1.98637169793709,3.89495628364293,8.13093126730763,8.51302156258751,10.3046143314976,12.3737515168487,2.87750085565823,2.22471140981362,NA,4.96406235414916,71.561532809334,357.5,297.8,831.5,9,12.7,35.3,17.6,10.1,31.1,633.1,8.1,85,"Hesse",FALSE
169,"Werra-Meißner - Hersfeld-Rotenburg",6,180203,131446,39.0928594251632,34.8979809199215,41.5607930252727,35.6899411165041,1.91181169453616,3.81449416490422,5.53611368927164,5.76966967423885,4.81794805471448,6.74649666022549,1.73683489798092,1.48654200203886,NA,5.39841455806947,72.9432917321021,2121.8,224.1,106.1,7.4,10,36.6,18.6,11.7,25.3,407.4,5.3,56.7,"Hesse",FALSE
170,"Schwalm-Eder",6,191354,141665,38.232449793527,34.4100518829633,40.9021282603325,35.3312391910493,2.12120142589913,4.49087636325133,4.86358663043095,5.25323827339145,5.56524194402287,7.41044012282497,1.95602301203544,1.62778385628066,NA,5.21935552182967,74.0329441767614,2262.5,239,106,8,10.4,37.3,17.4,10.4,31.5,306.4,4.8,45.7,"Hesse",FALSE
171,"Marburg",6,184686,130945,38.7055634044828,35.887586391233,42.7523005842147,32.646530986292,1.70224139906067,3.90316545114361,5.15178128221773,6.65928443239528,5.8001450990874,10.2661422734736,1.97105655046012,1.68467677269082,NA,4.47363396846004,70.9014218728003,1262.6,249.8,198.7,10.3,12.7,37,15.1,8.9,33.7,488,4.4,47.4,"Hesse",FALSE
172,"Lahn-Dill",6,210867,146943,46.7296842993542,40.6688307711153,33.4912176830472,29.5393451882703,2.06406565811233,4.30302906569214,4.49357914293297,5.05842401475402,5.88459470679107,7.21368149554589,2.22195000782616,1.72379766303941,NA,5.65865675806265,69.6851569946933,1153.4,274.5,238.3,8.2,10.8,36.8,17.2,10,26.6,450.4,5.9,65.3,"Hesse",FALSE
173,"Gießen",6,215246,156652,43.144677374052,37.7026785486301,34.4891862216888,28.9169624390368,2.90005872890228,4.82151520567883,4.98046625641549,6.33761458519521,7.14066848811378,9.4215203125399,2.52087429461481,2.08615274621454,NA,4.75193422362945,72.7781236352824,1343.3,281.3,209.7,10.1,13,36.3,15.4,9.4,34.4,343.4,6.3,65.1,"Hesse",FALSE
174,"Fulda",6,209960,154025,56.6550884596656,49.8477519883136,24.2506086674241,21.5666287940269,2.3405291348807,4.74793053075799,4.45966563869502,4.47979224151923,5.275117675702,6.53010874857978,2.20094140561597,1.76270086024996,NA,5.65557539360493,73.3592112783387,2130.3,267.7,125.7,8.3,11,36.5,16.1,10.4,26.4,383.3,3.6,43.2,"Hesse",FALSE
175,"Main-Kinzig - Wetterau II - Schotten",6,180491,131010,47.2566979619876,39.9244332493703,31.3418822990611,26.9544309594687,2.26165941531181,4.97366613235631,5.14388214640104,5.29272574612625,5.2018929852683,7.41928097091825,2.85932371574689,2.03495916342264,NA,6.18120754140905,72.5853366649861,1539.7,232.6,151,8,10.4,38,17.2,9.6,31.6,301.2,4.9,53,"Hesse",FALSE
176,"Hochtaunus",6,182026,139886,47.7424474214718,42.0499549633273,27.4759446978254,24.1954162675321,3.47854681669359,7.38744406159301,3.91890539439258,4.54512960553594,7.19442974993924,9.07167264772744,1.56841999914216,1.61989048224983,5.53879587664241,6.75335630441931,76.8494610660016,812.6,246.5,302.8,7,10,38,17.8,9.7,38.9,533.5,4.3,45.4,"Hesse",FALSE
